"FTM Limite diffraction_x","FTM Limite diffraction_y","0.0_x","0.0_y","0.5_x","0.5_y","1.0_x","1.0_y","1.5_x","1.5_y"
3.110133594,0.7790238785,11.23046875,0.1370769991,11.23046875,0.243114212,11.23046875,0.2676570678,11.23046875,0.2057761705,
3.137178234,0.7771239085,11.328125,0.1352803631,11.328125,0.2391265955,11.328125,0.2633242529,11.328125,0.2037373253,
3.164222874,0.7752245028,11.42578125,0.1334356615,11.42578125,0.2351217207,11.42578125,0.2588855741,11.42578125,0.2015143999,
3.191267514,0.7733256664,11.5234375,0.1315412421,11.5234375,0.2311002634,11.5234375,0.254356587,11.5234375,0.199104406,
3.218312154,0.7714274044,11.62109375,0.1296050323,11.62109375,0.2270664422,11.62109375,0.2497587493,11.62109375,0.196513621,
3.245356794,0.7695297218,11.71875,0.1276432199,11.71875,0.2230274629,11.71875,0.2451183201,11.71875,0.1937570688,
3.272401434,0.7676326238,11.81640625,0.1256781668,11.81640625,0.2189927391,11.81640625,0.2404649615,11.81640625,0.1908574615,
3.299446074,0.7657361153,11.9140625,0.123735829,11.9140625,0.2149729535,11.9140625,0.2358301332,11.9140625,0.1878436712,
3.326490714,0.7638402015,12.01171875,0.1218430305,12.01171875,0.2109790452,12.01171875,0.2312453867,12.01171875,0.1847488446,
3.353535354,0.7619448875,12.109375,0.1200249658,12.109375,0.2070212269,12.109375,0.2267406848,12.109375,0.1816083131,
3.380579993,0.7600501783,12.20703125,0.1183032628,12.20703125,0.2031081388,12.20703125,0.222342866,12.20703125,0.1784574686,
3.407624633,0.758156079,12.3046875,0.1166948343,12.3046875,0.1992462345,12.3046875,0.2180743624,12.3046875,0.1753297839,
3.434669273,0.7562625947,12.40234375,0.115211584,12.40234375,0.1954394652,12.40234375,0.2139522488,12.40234375,0.1722551338,
3.461713913,0.7543697305,12.5,0.1138608534,12.5,0.1916892931,12.5,0.2099876659,12.5,0.1692585344,
3.488758553,0.7524774916,12.59765625,0.1126463375,12.59765625,0.187995019,12.59765625,0.2061856171,12.59765625,0.1663593607,
3.515803193,0.750585883,12.6953125,0.1115690978,12.6953125,0.1843543682,12.6953125,0.2025451031,12.6953125,0.1635710335,
3.542847833,0.7486949099,12.79296875,0.1106283016,12.79296875,0.1807642451,12.79296875,0.1990595309,12.79296875,0.160901107,
3.569892473,0.7468045774,12.890625,0.1098214024,12.890625,0.1772215504,12.890625,0.1957173237,12.890625,0.1583516428,
3.596937113,0.7449148906,12.98828125,0.1091436487,12.98828125,0.1737239502,12.98828125,0.1925026603,12.98828125,0.1559197331,
3.623981753,0.7430258547,13.0859375,0.1085870115,13.0859375,0.1702705072,13.0859375,0.1893962899,13.0859375,0.1535980528,
3.651026393,0.7411374747,13.18359375,0.1081388109,13.18359375,0.1668621098,13.18359375,0.1863763931,13.18359375,0.1513753547,
3.678071033,0.739249756,13.28125,0.1077804517,13.28125,0.1635016726,13.28125,0.1834194797,13.28125,0.1492368759,
3.705115673,0.7373627035,13.37890625,0.1074867046,13.37890625,0.1601941204,13.37890625,0.1805013317,13.37890625,0.1471646848,
3.732160313,0.7354763225,13.4765625,0.1072258856,13.4765625,0.1569461973,13.4765625,0.177598001,13.4765625,0.145138042,
3.759204953,0.7335906181,13.57421875,0.1069611144,13.57421875,0.1537661619,13.57421875,0.1746868625,13.57421875,0.1431338691,
3.786249593,0.7317055955,13.671875,0.1066526114,13.671875,0.1506634373,13.671875,0.1717477035,13.671875,0.1411274175,
3.813294233,0.7298212599,13.76953125,0.1062607865,13.76953125,0.1476482711,13.76953125,0.1687638028,13.76953125,0.1390931934,
3.840338873,0.7279376165,13.8671875,0.1057497165,13.8671875,0.1447314404,13.8671875,0.1657229296,13.8671875,0.1370061417,
3.867383513,0.7260546704,13.96484375,0.1050905422,13.96484375,0.1419240046,13.96484375,0.1626181741,13.96484375,0.1348430351,
3.894428152,0.7241724269,14.0625,0.1042643186,14.0625,0.1392370778,14.0625,0.1594485136,14.0625,0.1325839556,
3.921472792,0.7222908912,14.16015625,0.1032639295,14.16015625,0.1366815698,14.16015625,0.1562190305,14.16015625,0.1302137222,
3.948517432,0.7204100685,14.2578125,0.1020947931,14.2578125,0.1342678293,14.2578125,0.1529407177,14.2578125,0.1277230995,
3.975562072,0.7185299639,14.35546875,0.1007742246,14.35546875,0.1320051348,14.35546875,0.1496298486,14.35546875,0.1251096338,
4.002606712,0.7166505827,14.453125,0.09932948252,14.453125,0.129901002,14.453125,0.1463069307,14.453125,0.1223779966,
4.029651352,0.7147719302,14.55078125,0.09779468622,14.55078125,0.1279603192,14.55078125,0.142995315,14.55078125,0.1195397645,
4.056695992,0.7128940116,14.6484375,0.09620695844,14.6484375,0.1261843722,14.6484375,0.1397195793,14.6484375,0.11661263,
4.083740632,0.7110168322,14.74609375,0.09460228764,14.74609375,0.1245698683,14.74609375,0.1365038377,14.74609375,0.1136191065,
4.110785272,0.7091403971,14.84375,0.09301169867,14.84375,0.123108099,14.84375,0.1333701463,14.84375,0.1105848533,
